1000,11.89%,B,B4,Jul-09,997xx,AK
1800,11.12%,B,B3,Jul-10,995xx,AK
2000,16.77%,E,E2,Mar-11,995xx,AK
3000,7.90%,A,A4,Dec-11,995xx,AK
3000,17.19%,E,E3,Jun-10,995xx,AK
3500,5.42%,A,A1,May-11,996xx,AK
4000,14.27%,C,C2,Oct-11,996xx,AK
4000,8.90%,A,A5,Oct-11,998xx,AK
4000,17.49%,D,D5,May-11,996xx,AK
4000,12.98%,C,C3,Dec-10,996xx,AK
4500,8.88%,B,B1,Nov-10,995xx,AK
5000,12.23%,C,C1,Nov-10,995xx,AK
5000,13.98%,C,C3,Jun-10,996xx,AK
5000,12.87%,C,C1,Dec-09,998xx,AK
5600,13.49%,C,C1,Dec-11,995xx,AK
5600,10.99%,B,B3,May-11,996xx,AK
5600,18.04%,G,G4,Jan-08,997xx,AK
6000,16.49%,D,D3,May-11,995xx,AK
6200,10.65%,B,B2,Dec-11,996xx,AK
6225,10.99%,B,B3,Sep-11,998xx,AK
6300,15.28%,D,D3,Apr-11,998xx,AK
6500,7.29%,A,A4,Feb-11,995xx,AK
7000,6.91%,A,A5,Jan-11,995xx,AK
7200,11.11%,B,B5,Mar-11,998xx,AK
7500,5.99%,A,A2,Jul-11,997xx,AK
7500,13.87%,D,D5,Jun-08,995xx,AK
7650,19.29%,E,E4,Sep-11,999xx,AK
7700,13.98%,C,C3,Sep-10,997xx,AK
8000,15.65%,D,D4,Mar-11,995xx,AK
8000,9.62%,B,B3,Jan-11,996xx,AK
8400,7.51%,A,A3,Dec-11,995xx,AK
8400,7.14%,A,A3,Jun-10,995xx,AK
9250,18.79%,E,E3,May-11,998xx,AK
9325,12.53%,C,C1,Mar-09,997xx,AK
9600,7.51%,A,A4,May-10,995xx,AK
10000,10.99%,B,B3,Aug-11,995xx,AK
10000,11.49%,B,B4,Aug-10,995xx,AK
10000,13.22%,C,C2,Jan-10,995xx,AK
11000,8.94%,A,A5,Nov-09,997xx,AK
11200,11.34%,C,C2,Mar-08,996xx,AK
12000,11.49%,B,B4,May-11,997xx,AK
12000,7.29%,A,A4,Mar-11,995xx,AK
12000,10.74%,B,B4,Jan-11,998xx,AK
12000,9.62%,B,B3,Jan-11,997xx,AK
12000,15.58%,D,D3,Sep-10,997xx,AK
12000,10.99%,B,B4,May-10,997xx,AK
12200,12.29%,C,C5,Mar-08,996xx,AK
12400,7.51%,A,A3,Nov-11,996xx,AK
12800,23.52%,G,G3,Oct-11,997xx,AK
13000,8.90%,A,A5,Nov-11,995xx,AK
13200,12.69%,B,B5,Dec-11,998xx,AK
14000,12.42%,B,B4,Nov-11,995xx,AK
15000,9.99%,B,B1,Sep-11,995xx,AK
15000,13.49%,C,C2,Jun-11,998xx,AK
15000,7.66%,A,A5,Feb-11,997xx,AK
15000,17.06%,E,E4,Dec-10,995xx,AK
15000,15.21%,D,D2,Sep-10,995xx,AK
15000,7.88%,A,A5,Aug-10,995xx,AK
15000,13.16%,C,C3,Jan-09,997xx,AK
15000,11.89%,B,B4,Jan-09,995xx,AK
15250,7.88%,A,A5,Apr-10,995xx,AK
16000,7.90%,A,A4,Nov-11,997xx,AK
16000,11.11%,B,B5,Mar-11,995xx,AK
16000,16.40%,E,E1,Feb-11,996xx,AK
16000,15.33%,D,D3,Apr-10,997xx,AK
16000,12.21%,B,B5,May-09,995xx,AK
16000,13.85%,C,C4,Mar-10,355xx,AK
18750,10.38%,B,B1,Sep-10,995xx,AK
20000,20.30%,E,E5,Dec-11,997xx,AK
20000,14.65%,C,C3,Oct-11,995xx,AK
20000,19.69%,E,E5,Jul-11,995xx,AK
20000,9.25%,B,B2,Dec-10,363xx,AK
20000,11.89%,B,B4,Apr-09,996xx,AK
20000,13.47%,C,C4,Mar-09,352xx,AK
22750,19.29%,E,E4,Aug-11,995xx,AK
23000,12.69%,B,B5,Dec-11,997xx,AK
23200,20.89%,F,F1,Nov-11,998xx,AK
25000,13.49%,C,C1,Dec-11,996xx,AK
25000,19.91%,E,E4,Dec-11,997xx,AK
25000,22.35%,F,F5,Nov-11,997xx,AK
25000,15.25%,E,E2,Dec-08,995xx,AK
26500,16.49%,D,D3,Jun-11,997xx,AK
35000,7.90%,A,A4,Dec-11,995xx,AK
35000,19.42%,E,E3,Dec-11,996xx,AK
35000,13.99%,C,C3,Aug-11,997xx,AK
35000,19.69%,E,E5,Jul-11,997xx,AK
600,13.24%,D,D3,Mar-08,352xx,AL
1000,18.39%,E,E2,Jun-11,365xx,AL
1000,7.49%,A,A4,May-11,350xx,AL
1000,7.88%,A,A5,Jul-10,351xx,AL
1000,10.75%,B,B2,Jul-10,362xx,AL
1200,7.49%,A,A4,Jun-11,369xx,AL
1200,18.99%,F,F3,Mar-11,365xx,AL
1200,10.99%,B,B4,Feb-10,368xx,AL
1250,5.42%,A,A1,Sep-11,362xx,AL
1400,7.74%,A,A3,Oct-09,352xx,AL
1500,16.32%,D,D5,Oct-10,365xx,AL
1500,9.32%,A,A4,Jul-09,366xx,AL
